address	function	mnemonic	instruction	old_bytes	disp_offset	veh_offset	disp_value
00503e0c	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [EDX + 0x952832]	0F BF 82 32 28 95 00	3	0xA	0x952832
00503f25	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00503f51	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x952832]	0F BF 83 32 28 95 00	3	0xA	0x952832
00503f8d	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EDX,word ptr [ESI + 0x952832]	0F BF 96 32 28 95 00	3	0xA	0x952832
00503fb2	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00503fdc	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x952832]	0F BF 83 32 28 95 00	3	0xA	0x952832
0050407d	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [EDX + 0x952832]	0F BF 82 32 28 95 00	3	0xA	0x952832
005040c1	battle_compute(int,int,int_*,int_*,int)	MOV	MOV AL,byte ptr [EDX + 0x952836]	8A 82 36 28 95 00	2	0xE	0x952836
0050414f	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
0050417d	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [EAX + 0x952832]	0F BF 80 32 28 95 00	3	0xA	0x952832
00504223	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x952832]	0F BF 83 32 28 95 00	3	0xA	0x952832
00504246	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
005042e4	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX ECX,word ptr [ESI + 0x952832]	0F BF 8E 32 28 95 00	3	0xA	0x952832
00504301	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EDX,word ptr [EBX + 0x952832]	0F BF 93 32 28 95 00	3	0xA	0x952832
0050431e	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
005043d0	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX ECX,word ptr [ESI + 0x952832]	0F BF 8E 32 28 95 00	3	0xA	0x952832
005043f0	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [EDX + 0x952832]	0F BF 82 32 28 95 00	3	0xA	0x952832
00504408	battle_compute(int,int,int_*,int_*,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0050450d	best_defender(int,int,int)	MOVSX	MOVSX EBX,word ptr [EDI + 0x95282a]	0F BF 9F 2A 28 95 00	3	0x2	0x95282A
00504514	best_defender(int,int,int)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952828]	0F BF 8F 28 28 95 00	3	0x0	0x952828
0050456d	best_defender(int,int,int)	MOV	MOV DI,word ptr [EDI + 0x95285a]	66 8B BF 5A 28 95 00	3	0x32	0x95285A
00504584	best_defender(int,int,int)	MOV	MOV CX,word ptr [EDX*0x4 + 0x95285a]	66 8B 0C 95 5A 28 95 00	4	0x32	0x95285A
005045af	best_defender(int,int,int)	MOVSX	MOVSX ECX,word ptr [EBX + 0x952832]	0F BF 8B 32 28 95 00	3	0xA	0x952832
005045f4	best_defender(int,int,int)	MOVSX	MOVSX EDX,word ptr [EDX*0x4 + 0x952832]	0F BF 14 95 32 28 95 00	4	0xA	0x952832
0050462d	best_defender(int,int,int)	MOVSX	MOVSX ECX,word ptr [EAX*0x4 + 0x952832]	0F BF 0C 85 32 28 95 00	4	0xA	0x952832
00504656	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EDX*0x4 + 0x952832]	0F BF 04 95 32 28 95 00	4	0xA	0x952832
00504680	best_defender(int,int,int)	MOVSX	MOVSX ECX,word ptr [EBX + 0x952832]	0F BF 8B 32 28 95 00	3	0xA	0x952832
0050469a	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x952832]	0F BF 83 32 28 95 00	3	0xA	0x952832
005046c5	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EAX*0x4 + 0x952832]	0F BF 04 85 32 28 95 00	4	0xA	0x952832
0050475f	best_defender(int,int,int)	MOVSX	MOVSX EDI,word ptr [EBX + 0x952832]	0F BF BB 32 28 95 00	3	0xA	0x952832
005047a9	best_defender(int,int,int)	MOV	MOV DL,byte ptr [ECX + 0x952838]	8A 91 38 28 95 00	2	0x10	0x952838
00504840	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EBX*0x4 + 0x952832]	0F BF 04 9D 32 28 95 00	4	0xA	0x952832
00504878	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
005048a7	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EBX*0x4 + 0x952832]	0F BF 04 9D 32 28 95 00	4	0xA	0x952832
005048d6	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EBX*0x4 + 0x952832]	0F BF 04 9D 32 28 95 00	4	0xA	0x952832
00504913	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00504987	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
005049af	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EBX*0x4 + 0x952832]	0F BF 04 9D 32 28 95 00	4	0xA	0x952832
005049e5	best_defender(int,int,int)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952832]	0F BF 8F 32 28 95 00	3	0xA	0x952832
00504a58	best_defender(int,int,int)	TEST	TEST byte ptr [EDI + 0x95282c],0x80	F6 87 2C 28 95 00 80	2	0x4	0x95282C
00504a7f	best_defender(int,int,int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x952858]	0F BF 83 58 28 95 00	3	0x30	0x952858
00505d97	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV CL,byte ptr [EDI + 0x952836]	8A 8F 36 28 95 00	2	0xE	0x952836
00505da4	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952832]	0F BF 8F 32 28 95 00	3	0xA	0x952832
00505ddd	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV DL,byte ptr [EBX + 0x952836]	8A 93 36 28 95 00	2	0xE	0x952836
00505deb	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX EDX,word ptr [EBX + 0x95282a]	0F BF 93 2A 28 95 00	3	0x2	0x95282A
00505df5	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX EDX,word ptr [EBX + 0x952828]	0F BF 93 28 28 95 00	3	0x0	0x952828
00505e41	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX ECX,word ptr [EBX + 0x952832]	0F BF 8B 32 28 95 00	3	0xA	0x952832
00505eaf	battle_kill(int,int_*,int_*,int_*,int,int)	TEST	TEST byte ptr [EDI + 0x952830],0x20	F6 87 30 28 95 00 20	2	0x8	0x952830
00505ecc	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952832]	0F BF 8F 32 28 95 00	3	0xA	0x952832
00505ed5	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV AL,byte ptr [EBX + 0x952836]	8A 83 36 28 95 00	2	0xE	0x952836
00505edb	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV byte ptr [EDI + 0x952838],0x0	C6 87 38 28 95 00 00	2	0x10	0x952838
00505ee2	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV byte ptr [EDI + 0x952836],AL	88 87 36 28 95 00	2	0xE	0x952836
00505eeb	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV byte ptr [EDI + 0x952839],0x0	C6 87 39 28 95 00 00	2	0x11	0x952839
00505f19	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV EAX,dword ptr [EDI + 0x95282c]	8B 87 2C 28 95 00	2	0x4	0x95282C
00505f2b	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV dword ptr [EDI + 0x95282c],EAX	89 87 2C 28 95 00	2	0x4	0x95282C
00505f31	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x95282a]	0F BF 83 2A 28 95 00	3	0x2	0x95282A
00505f3f	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX ECX,word ptr [EBX + 0x952828]	0F BF 8B 28 28 95 00	3	0x0	0x952828
00505f6b	battle_kill(int,int_*,int_*,int_*,int,int)	TEST	TEST byte ptr [EDI + 0x952830],0x20	F6 87 30 28 95 00 20	2	0x8	0x952830
00505f92	battle_kill(int,int_*,int_*,int_*,int,int)	TEST	TEST dword ptr [EDI + 0x95282c],0x800000	F7 87 2C 28 95 00 00 00 80 00	2	0x4	0x95282C
00505fc3	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x952856]	0F BF 83 56 28 95 00	3	0x2E	0x952856
00505fce	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x95282a]	0F BF 83 2A 28 95 00	3	0x2	0x95282A
00505fd5	battle_kill(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX ECX,word ptr [EBX + 0x952828]	0F BF 8B 28 28 95 00	3	0x0	0x952828
00505fde	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV DL,byte ptr [EBX + 0x952836]	8A 93 36 28 95 00	2	0xE	0x952836
00506010	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV AL,byte ptr [EBX + 0x952836]	8A 83 36 28 95 00	2	0xE	0x952836
00506077	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV CL,byte ptr [EBX + 0x952836]	8A 8B 36 28 95 00	2	0xE	0x952836
005060cb	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV CL,byte ptr [EDI + 0x952836]	8A 8F 36 28 95 00	2	0xE	0x952836
005060db	battle_kill(int,int_*,int_*,int_*,int,int)	MOV	MOV AL,byte ptr [EDX*0x4 + 0x952836]	8A 04 95 36 28 95 00	3	0xE	0x952836
00506141	battle_kill_stack(int,int_*,int_*,int_*,int,int)	MOV	MOV AX,word ptr [ECX*0x4 + 0x95285a]	66 8B 04 8D 5A 28 95 00	4	0x32	0x95285A
00506157	battle_kill_stack(int,int_*,int_*,int_*,int,int)	MOV	MOV AX,word ptr [EAX*0x4 + 0x95285a]	66 8B 04 85 5A 28 95 00	4	0x32	0x95285A
0050617f	battle_kill_stack(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX EDI,word ptr [EDX*0x4 + 0x952858]	0F BF 3C 95 58 28 95 00	4	0x30	0x952858
005061c5	battle_kill_chaff(int,int_*,int_*,int_*,int,int)	MOV	MOV AX,word ptr [ECX*0x4 + 0x95285a]	66 8B 04 8D 5A 28 95 00	4	0x32	0x95285A
005061db	battle_kill_chaff(int,int_*,int_*,int_*,int,int)	MOV	MOV AX,word ptr [EAX*0x4 + 0x95285a]	66 8B 04 85 5A 28 95 00	4	0x32	0x95285A
005061fe	battle_kill_chaff(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
00506205	battle_kill_chaff(int,int_*,int_*,int_*,int,int)	MOVSX	MOVSX EDI,word ptr [ECX + 0x952858]	0F BF B9 58 28 95 00	3	0x30	0x952858
0050624c	battle_kill_chaff(int,int_*,int_*,int_*,int,int)	MOV	MOV DL,byte ptr [ECX + 0x952838]	8A 91 38 28 95 00	2	0x10	0x952838
00506261	battle_kill_chaff(int,int_*,int_*,int_*,int,int)	MOV	MOV AL,byte ptr [ECX + 0x952836]	8A 81 36 28 95 00	2	0xE	0x952836
005062c2	promote(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00506325	promote(int)	CMP	CMP byte ptr [ESI + 0x95284c],0x6	80 BE 4C 28 95 00 06	2	0x24	0x95284C
00506365	promote(int)	MOV	MOV CL,byte ptr [ESI + 0x95284c]	8A 8E 4C 28 95 00	2	0x24	0x95284C
00506377	promote(int)	MOV	MOV byte ptr [ESI + 0x95284c],CL	88 8E 4C 28 95 00	2	0x24	0x95284C
0050637f	promote(int)	MOV	MOV CL,byte ptr [ESI + 0x952836]	8A 8E 36 28 95 00	2	0xE	0x952836
005063b6	promote(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
005063d6	promote(int)	MOV	MOV SI,word ptr [ESI + 0x952832]	66 8B B6 32 28 95 00	3	0xA	0x952832
005064dc	invasions(int)	MOV	MOV ESI,0x95282a	BE 2A 28 95 00	1	0x2	0x95282A
00506675	interceptor(int,int,int,int)	MOV	MOV EBX,0x95282a	BB 2A 28 95 00	1	0x2	0x95282A
0050685e	interceptor(int,int,int,int)	MOVSX	MOVSX EBX,word ptr [EAX + 0x95282a]	0F BF 98 2A 28 95 00	3	0x2	0x95282A
00506865	interceptor(int,int,int,int)	MOVSX	MOVSX EDI,word ptr [EAX + 0x952828]	0F BF B8 28 28 95 00	3	0x0	0x952828
00506a31	interceptor(int,int,int,int)	MOV	MOV byte ptr [EAX + 0x952839],0x0	C6 80 39 28 95 00 00	2	0x11	0x952839
00506a38	interceptor(int,int,int,int)	MOV	MOV ECX,dword ptr [EAX + 0x95282c]	8B 88 2C 28 95 00	2	0x4	0x95282C
00506a44	interceptor(int,int,int,int)	MOV	MOV dword ptr [EAX + 0x95282c],ECX	89 88 2C 28 95 00	2	0x4	0x95282C
00506a8c	battle_fight(int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952828]	0F BF 81 28 28 95 00	3	0x0	0x952828
00506ac8	battle_fight(int,int,int,int,int_*)	MOVSX	MOVSX ECX,word ptr [ECX + 0x95282a]	0F BF 89 2A 28 95 00	3	0x2	0x95282A
00506b22	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ECX,word ptr [EDI*0x4 + 0x952832]	0F BF 0C BD 32 28 95 00	4	0xA	0x952832
00506b37	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI*0x4 + 0x952832]	0F BF 04 BD 32 28 95 00	4	0xA	0x952832
00506b7e	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952828]	0F BF 8F 28 28 95 00	3	0x0	0x952828
00506b85	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EDX,word ptr [EDI + 0x95282a]	0F BF 97 2A 28 95 00	3	0x2	0x95282A
00506b8c	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV AL,byte ptr [EDI + 0x952836]	8A 87 36 28 95 00	2	0xE	0x952836
00506ba4	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EDX,word ptr [EDI + 0x952832]	0F BF 97 32 28 95 00	3	0xA	0x952832
00506bc2	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EAX + 0x952832]	0F BF 80 32 28 95 00	3	0xA	0x952832
00506c84	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00506ce5	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV CL,byte ptr [EAX*0x4 + 0x952836]	8A 0C 85 36 28 95 00	3	0xE	0x952836
00506d21	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV DL,byte ptr [EAX + 0x952836]	8A 90 36 28 95 00	2	0xE	0x952836
00506d33	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952832]	0F BF 8F 32 28 95 00	3	0xA	0x952832
00506d51	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EDX,word ptr [ESI + 0x952832]	0F BF 96 32 28 95 00	3	0xA	0x952832
00506d65	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00506dce	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00506de4	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00506e13	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00506e6a	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV CL,byte ptr [EDI + 0x952850]	8A 8F 50 28 95 00	2	0x28	0x952850
00506eab	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00506ef1	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV CL,byte ptr [EDI + 0x952838]	8A 8F 38 28 95 00	2	0x10	0x952838
00506f10	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00506f4e	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV DL,byte ptr [ESI + 0x952838]	8A 96 38 28 95 00	2	0x10	0x952838
00506f6d	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00506f95	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ESI,word ptr [EDX + 0x952832]	0F BF B2 32 28 95 00	3	0xA	0x952832
00506fc4	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ESI,word ptr [EDX + 0x952832]	0F BF B2 32 28 95 00	3	0xA	0x952832
00507132	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952832]	0F BF 8F 32 28 95 00	3	0xA	0x952832
00507156	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00507180	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDX + 0x952832]	0F BF 82 32 28 95 00	3	0xA	0x952832
005071bd	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV ECX,dword ptr [EDI + 0x95282c]	8B 8F 2C 28 95 00	2	0x4	0x95282C
005071d8	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV dword ptr [EDI + 0x95282c],ECX	89 8F 2C 28 95 00	2	0x4	0x95282C
005071f0	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00507269	battle_fight(int,int,int,int,int,int,int_*)	OR	OR dword ptr [EDI + 0x95282c],0x80000	81 8F 2C 28 95 00 00 00 08 00	2	0x4	0x95282C
005073a1	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV dword ptr [EDI + 0x95282c],EAX	89 87 2C 28 95 00	2	0x4	0x95282C
005073c5	battle_fight(int,int,int,int,int,int,int_*)	TEST	TEST dword ptr [EDI + 0x95282c],0x80000	F7 87 2C 28 95 00 00 00 08 00	2	0x4	0x95282C
005073df	battle_fight(int,int,int,int,int,int,int_*)	AND	AND dword ptr [EDI + 0x95282c],0xfffbffff	81 A7 2C 28 95 00 FF FF FB FF	2	0x4	0x95282C
005073e9	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV EAX,dword ptr [EDI + 0x95282c]	8B 87 2C 28 95 00	2	0x4	0x95282C
00507410	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV AX,word ptr [EDI + 0x952832]	66 8B 87 32 28 95 00	3	0xA	0x952832
0050743b	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV DL,byte ptr [EDI + 0x952850]	8A 97 50 28 95 00	2	0x28	0x952850
005074e6	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV CL,byte ptr [EDI + 0x952850]	8A 8F 50 28 95 00	2	0x28	0x952850
005074ee	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV byte ptr [EDI + 0x952850],CL	88 8F 50 28 95 00	2	0x28	0x952850
005074f4	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV ECX,dword ptr [EDI + 0x95282c]	8B 8F 2C 28 95 00	2	0x4	0x95282C
00507503	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV dword ptr [EDI + 0x95282c],ECX	89 8F 2C 28 95 00	2	0x4	0x95282C
00507509	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV ECX,dword ptr [EAX + 0x95282c]	8B 88 2C 28 95 00	2	0x4	0x95282C
00507512	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV dword ptr [EAX + 0x95282c],ECX	89 88 2C 28 95 00	2	0x4	0x95282C
0050752a	battle_fight(int,int,int,int,int,int,int_*)	OR	OR dword ptr [EDI + 0x95282c],0x40	83 8F 2C 28 95 00 40	2	0x4	0x95282C
00507531	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
0050754f	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
00507970	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
00507977	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ECX,word ptr [EDX + 0x952832]	0F BF 8A 32 28 95 00	3	0xA	0x952832
00507af8	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00507b35	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV AL,byte ptr [ESI + 0x952836]	8A 86 36 28 95 00	2	0xE	0x952836
00507b3f	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV DX,word ptr [ESI + 0x952830]	66 8B 96 30 28 95 00	3	0x8	0x952830
00507b5a	battle_fight(int,int,int,int,int,int,int_*)	TEST	TEST byte ptr [ESI + 0x95284f],AL	84 86 4F 28 95 00	2	0x27	0x95284F
00507c66	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ECX,word ptr [ECX + 0x952832]	0F BF 89 32 28 95 00	3	0xA	0x952832
00507cec	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX ECX,word ptr [ECX + 0x952832]	0F BF 89 32 28 95 00	3	0xA	0x952832
00507d1b	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV ECX,dword ptr [EDX + 0x95282c]	8B 8A 2C 28 95 00	2	0x4	0x95282C
00507e3a	battle_fight(int,int,int,int,int,int,int_*)	SUB	SUB byte ptr [EAX + 0x952850],CL	28 88 50 28 95 00	2	0x28	0x952850
00507e45	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV byte ptr [EAX + 0x952839],0x0	C6 80 39 28 95 00 00	2	0x11	0x952839
00507e4c	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV ECX,dword ptr [EAX + 0x95282c]	8B 88 2C 28 95 00	2	0x4	0x95282C
00507e58	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV dword ptr [EAX + 0x95282c],ECX	89 88 2C 28 95 00	2	0x4	0x95282C
0050803a	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EBX + 0x952832]	0F BF 83 32 28 95 00	3	0xA	0x952832
00508078	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV CL,byte ptr [EBX + 0x952838]	8A 8B 38 28 95 00	2	0x10	0x952838
00508097	battle_fight(int,int,int,int,int,int,int_*)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
005080d5	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV DL,byte ptr [EDI + 0x952838]	8A 97 38 28 95 00	2	0x10	0x952838
005082bc	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV AL,byte ptr [EBX + 0x952838]	8A 83 38 28 95 00	2	0x10	0x952838
005082cc	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV AL,byte ptr [EDX + 0x952838]	8A 82 38 28 95 00	2	0x10	0x952838
00508312	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV AL,byte ptr [EBX + 0x952850]	8A 83 50 28 95 00	2	0x28	0x952850
0050831a	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV byte ptr [EBX + 0x952850],AL	88 83 50 28 95 00	2	0x28	0x952850
00508320	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV byte ptr [EBX + 0x952839],0x0	C6 83 39 28 95 00 00	2	0x11	0x952839
00508327	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV EAX,dword ptr [EBX + 0x95282c]	8B 83 2C 28 95 00	2	0x4	0x95282C
00508337	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV dword ptr [EBX + 0x95282c],EAX	89 83 2C 28 95 00	2	0x4	0x95282C
005083b5	battle_fight(int,int,int,int,int,int,int_*)	CMP	CMP byte ptr [EDX + 0x952839],0x18	80 BA 39 28 95 00 18	2	0x11	0x952839
005083be	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV byte ptr [EDX + 0x952839],0x0	C6 82 39 28 95 00 00	2	0x11	0x952839
005083c5	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV EAX,dword ptr [EDX + 0x95282c]	8B 82 2C 28 95 00	2	0x4	0x95282C
005083d0	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV dword ptr [EDX + 0x95282c],EAX	89 82 2C 28 95 00	2	0x4	0x95282C
00508403	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV AL,byte ptr [EDX + 0x952836]	8A 82 36 28 95 00	2	0xE	0x952836
0050840d	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV AX,word ptr [EDX + 0x952830]	66 8B 82 30 28 95 00	3	0x8	0x952830
0050841f	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV BL,byte ptr [EDX + 0x95284f]	8A 9A 4F 28 95 00	2	0x27	0x95284F
00508435	battle_fight(int,int,int,int,int,int,int_*)	MOV	MOV DL,byte ptr [EBX + 0x952836]	8A 93 36 28 95 00	2	0xE	0x952836
